id,image_filename,image_description,sensor_temp_c,sensor_vibration_hz,sensor_acoustic_db,defect_type,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax
1,part_001.jpg,Metal housing showing rust patches near bolts (approx 2.74% of image).,55.37,4.71,45.99,Rust,248,91,382,189
2,part_002.jpg,Injection-molded plastic part with smooth surface and consistent color.,62.72,12.43,46.95,,0,0,0,0
3,part_003.jpg,Metal housing showing rust patches near bolts (approx 2.76% of image).,59.22,4.71,36.97,Rust,517,129,641,236
4,part_004.jpg,Metal housing showing rust patches near bolts (approx 10.07% of image).,58.51,10.46,40.65,Rust,173,359,446,536
5,part_005.jpg,Polished steel connector with intact threads and no deformation.,61.52,6.67,37.63,,0,0,0,0
6,part_006.jpg,Injection-molded plastic part with smooth surface and consistent color.,64.85,11.08,36.6,,0,0,0,0
7,part_007.jpg,Multiple scratches along the surface; linear abrasions visible.,64.09,10.99,43.03,Scratch,47,221,270,393
8,part_008.jpg,Polished steel connector with intact threads and no deformation.,57.65,10.52,37.88,,0,0,0,0
9,part_009.jpg,Aluminum casing showing even machining marks and no corrosion.,53.93,10.51,32.61,,0,0,0,0
10,part_010.jpg,Visible surface crack extending across component edge; crack region ~10.16%.,66.79,15.68,46.86,Crack,505,175,776,355
11,part_011.jpg,Aluminum casing showing even machining marks and no corrosion.,54.17,9.99,41.25,,0,0,0,0
12,part_012.jpg,Chrome-plated component with uniform finish and no visible defects.,60.69,10.91,46.04,,0,0,0,0
13,part_013.jpg,Aluminum casing showing even machining marks and no corrosion.,69.6,4.86,40.35,,0,0,0,0
14,part_014.jpg,Polished steel connector with intact threads and no deformation.,64.9,11.88,44.88,,0,0,0,0
15,part_015.jpg,Localized corrosion and pitting around weld joint; visible pitting area ~10.07%.,68.08,9.41,39.32,Corrosion,160,341,397,545
16,part_016.jpg,Metal housing showing rust patches near bolts (approx 3.52% of image).,65.06,10.28,39.74,Rust,276,109,373,283
17,part_017.jpg,Injection-molded plastic part with smooth surface and consistent color.,55.37,8.98,44.45,,0,0,0,0
18,part_018.jpg,Injection-molded plastic part with smooth surface and consistent color.,65.51,5.27,39.98,,0,0,0,0
19,part_019.jpg,Severe surface corrosion with flaking detected in region of interest.,66.5,7.96,42.92,Corrosion,479,368,661,548
20,part_020.jpg,Polished steel connector with intact threads and no deformation.,61.53,11.35,38.14,,0,0,0,0
21,part_021.jpg,Chrome-plated component with uniform finish and no visible defects.,63.46,10.21,47.01,,0,0,0,0
22,part_022.jpg,Aluminum casing showing even machining marks and no corrosion.,69.58,5.61,37.39,,0,0,0,0
23,part_023.jpg,Polished steel connector with intact threads and no deformation.,62.71,12.35,32.39,,0,0,0,0
24,part_024.jpg,Polished steel connector with intact threads and no deformation.,62.63,14.56,39.84,,0,0,0,0
